name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at,prefecture,category,is_new
鹿児島県庁,86151,,,0,,https://www2.njss.info/organizations/proc/1703,2026-08-02,鹿児島県,地方公共団体,0
京都府庁,86044,,,0,,https://www2.njss.info/organizations/proc/1691,2026-08-02,京都府,地方公共団体,0
群馬県庁,85831,,,0,,https://www2.njss.info/organizations/proc/1689,2026-08-02,群馬県,地方公共団体,0
福岡市役所,84296,,,0,,https://www2.njss.info/organizations/proc/1712,2026-08-02,福岡県,地方公共団体,0
栃木県庁,83564,,,0,,https://www2.njss.info/organizations/proc/1639,2026-08-02,栃木県,地方公共団体,0
沖縄県庁,81783,,,0,,https://www2.njss.info/organizations/proc/1645,2026-08-02,沖縄県,地方公共団体,0
下関市役所,79667,,,0,,https://www2.njss.info/organizations/proc/1740,2026-08-02,山口県,地方公共団体,0
日本郵政グループ〈郵便局/日本郵便/ゆうちょ銀行/かんぽ生命〉,78428,,,0,,https://www2.njss.info/organizations/proc/382,2026-08-02,東京都,国・省庁,0
国土交通省(MLIT) 九州地方整備局,76372,,,0,,https://www2.njss.info/organizations/proc/505,2026-08-02,福岡県,国・省庁,0
防衛省(MOD) 陸上自衛隊 中部方面隊 中部方面会計隊,75664,,,0,,https://www2.njss.info/organizations/proc/22,2026-08-02,兵庫県,国・省庁,0
富山県庁,74921,,,0,,https://www2.njss.info/organizations/proc/1679,2026-08-02,富山県,地方公共団体,0
鳥取県庁,73588,,,0,,https://www2.njss.info/organizations/proc/1694,2026-08-02,鳥取県,地方公共団体,0
広島県庁,73571,,,0,,https://www2.njss.info/organizations/proc/1585,2026-08-02,広島県,地方公共団体,0
山梨県庁,73370,,,0,,https://www2.njss.info/organizations/proc/1678,2026-08-02,山梨県,地方公共団体,0
青森市役所,72037,,,0,,https://www2.njss.info/organizations/proc/1715,2026-08-02,青森県,地方公共団体,0
奈良県庁,71553,,,0,,https://www2.njss.info/organizations/proc/1641,2026-08-02,奈良県,地方公共団体,0
国土交通省(MLIT) 関東地方整備局,71035,,,0,,https://www2.njss.info/organizations/proc/504,2026-08-02,埼玉県,国・省庁,0
岐阜市役所,70821,,,0,,https://www2.njss.info/organizations/proc/1727,2026-08-02,岐阜県,地方公共団体,0
島根県庁,70506,,,0,,https://www2.njss.info/organizations/proc/1695,2026-08-02,島根県,地方公共団体,0
産業技術総合研究所(AIST/産総研),70065,,,0,,https://www2.njss.info/organizations/proc/719,2026-08-02,茨城県,国・省庁,0
徳島県庁,68807,,,0,,https://www2.njss.info/organizations/proc/1586,2026-08-02,徳島県,地方公共団体,0
兵庫県庁,67647,,,0,,https://www2.njss.info/organizations/proc/1583,2026-08-02,兵庫県,地方公共団体,0
佐賀県庁,67408,,,0,,https://www2.njss.info/organizations/proc/1700,2026-08-02,佐賀県,地方公共団体,0
神戸市役所,66222,,,0,,https://www2.njss.info/organizations/proc/1665,2026-08-02,兵庫県,地方公共団体,0
北九州市役所,65546,,,0,,https://www2.njss.info/organizations/proc/1711,2026-08-02,福岡県,地方公共団体,0
防衛省(MOD) 陸上自衛隊 北部方面隊 北部方面会計隊,65049,,,0,,https://www2.njss.info/organizations/proc/9,2026-08-02,北海道,国・省庁,0
日本年金機構(JPS),63624,,,0,,https://www2.njss.info/organizations/proc/1676,2026-08-02,東京都,国・省庁,0
厚生労働省(MHLW),61720,,,0,,https://www2.njss.info/organizations/proc/716,2026-08-02,東京都,国・省庁,0
国土交通省(MLIT) 中部地方整備局,61467,,,0,,https://www2.njss.info/organizations/proc/500,2026-08-02,愛知県,国・省庁,0
青森県庁,60820,,,0,,https://www2.njss.info/organizations/proc/1574,2026-08-02,青森県,地方公共団体,0
国土交通省(MLIT) 近畿地方整備局,58508,,,0,,https://www2.njss.info/organizations/proc/503,2026-08-02,大阪府,国・省庁,0
福島県庁,58311,,,0,,https://www2.njss.info/organizations/proc/1637,2026-08-02,福島県,地方公共団体,0
国土交通省(MLIT) 東北地方整備局,58112,,,0,,https://www2.njss.info/organizations/proc/506,2026-08-02,宮城県,国・省庁,0
農林水産省(MAFF),57837,,,0,,https://www2.njss.info/organizations/proc/300,2026-08-02,東京都,国・省庁,0
山形県庁,57815,,,0,,https://www2.njss.info/organizations/proc/1575,2026-08-02,山形県,地方公共団体,0
防衛省(MOD) 陸上自衛隊 補給本部,54567,,,0,,https://www2.njss.info/organizations/proc/18,2026-08-02,東京都,国・省庁,0
防衛省(MOD) 陸上自衛隊 東北方面隊 東北方面会計隊,53928,,,0,,https://www2.njss.info/organizations/proc/10,2026-08-02,宮城県,国・省庁,0
宇宙航空研究開発機構(JAXA),53710,,,0,,https://www2.njss.info/organizations/proc/216,2026-08-02,東京都,国・省庁,0
防衛省(MOD) 陸上自衛隊 西部方面隊 西部方面会計隊,53076,,,0,,https://www2.njss.info/organizations/proc/24,2026-08-02,熊本県,国・省庁,0
千葉市役所,51324,,,0,,https://www2.njss.info/organizations/proc/1656,2026-08-02,千葉県,地方公共団体,0
国土交通省(MLIT) 中国地方整備局,50846,,,0,,https://www2.njss.info/organizations/proc/501,2026-08-02,広島県,国・省庁,0
国際協力機構(JICA),50311,,,0,,https://www2.njss.info/organizations/proc/757,2026-08-02,東京都,国・省庁,0
相模原市役所,49643,,,0,,https://www2.njss.info/organizations/proc/1723,2026-08-02,神奈川県,地方公共団体,0
新潟市役所,49411,,,0,,https://www2.njss.info/organizations/proc/1673,2026-08-02,新潟県,地方公共団体,0
浜松市役所,48478,,,0,,https://www2.njss.info/organizations/proc/1706,2026-08-02,静岡県,地方公共団体,0
長崎市役所,46060,,,0,,https://www2.njss.info/organizations/proc/1744,2026-08-02,長崎県,地方公共団体,0
世田谷区役所,45737,,,0,,https://www2.njss.info/organizations/proc/1805,2026-08-02,東京都,地方公共団体,0
長崎県庁,45492,,,0,,https://www2.njss.info/organizations/proc/1701,2026-08-02,長崎県,地方公共団体,0
厚木市役所,44547,,,0,,https://www2.njss.info/organizations/proc/1664,2026-08-02,神奈川県,地方公共団体,0
防衛省(MOD) 海上自衛隊 横須賀地方総監部,44519,,,0,,https://www2.njss.info/organizations/proc/85,2026-08-02,神奈川県,国・省庁,0
国土交通省(MLIT) 北陸地方整備局,43853,,,0,,https://www2.njss.info/organizations/proc/502,2026-08-02,新潟県,国・省庁,0
高松市役所,43840,,,0,,https://www2.njss.info/organizations/proc/1741,2026-08-02,香川県,地方公共団体,0
防衛省(MOD) 航空自衛隊 第4補給処,43651,,,0,,https://www2.njss.info/organizations/proc/57,2026-08-02,埼玉県,国・省庁,0
豊田市役所,43445,,,0,,https://www2.njss.info/organizations/proc/1729,2026-08-02,愛知県,地方公共団体,0
秋田市役所,42715,,,0,,https://www2.njss.info/organizations/proc/1717,2026-08-02,秋田県,地方公共団体,0
静岡市役所,42704,,,0,,https://www2.njss.info/organizations/proc/1672,2026-08-02,静岡県,地方公共団体,0
防衛省(MOD) 海上自衛隊 佐世保地方総監部,41672,,,0,,https://www2.njss.info/organizations/proc/74,2026-08-02,長崎県,国・省庁,0
国土交通省(MLIT) 北海道開発局 札幌開発建設部,41084,,,0,,https://www2.njss.info/organizations/proc/4585,2026-08-02,北海道,国・省庁,0
北区役所,40492,,,0,,https://www2.njss.info/organizations/proc/1820,2026-08-02,東京都,地方公共団体,0
法務省(MOJ) 矯正局,39908,,,0,,https://www2.njss.info/organizations/proc/1566,2026-08-02,東京都,国・省庁,0
科学技術振興機構(JST),39155,,,0,,https://www2.njss.info/organizations/proc/223,2026-08-02,埼玉県,国・省庁,0
環境省(MOE),38790,,,0,,https://www2.njss.info/organizations/proc/755,2026-08-02,東京都,国・省庁,0
防衛省(MOD) 航空自衛隊 第3補給処,38075,,,0,,https://www2.njss.info/organizations/proc/56,2026-08-02,埼玉県,国・省庁,0
財務省(MOF) 国税庁(NTA),38026,,,0,,https://www2.njss.info/organizations/proc/434,2026-08-02,東京都,国・省庁,0
富山市役所,37798,,,0,,https://www2.njss.info/organizations/proc/1724,2026-08-02,富山県,地方公共団体,0
京都市役所 上下水道局,37762,,,0,,https://www2.njss.info/organizations/proc/4198,2026-08-02,京都府,地方公共団体,0
上田市役所,37585,,,0,,https://www2.njss.info/organizations/proc/4719,2026-08-02,長野県,地方公共団体,0
唐津市役所,37565,,,0,,https://www2.njss.info/organizations/proc/4755,2026-08-02,佐賀県,地方公共団体,0
旭川市役所,37222,,,0,,https://www2.njss.info/organizations/proc/1714,2026-08-02,北海道,地方公共団体,0
鹿児島市役所,36543,,,0,,https://www2.njss.info/organizations/proc/1777,2026-08-02,鹿児島県,地方公共団体,0
最高裁判所,36424,,,0,,https://www2.njss.info/organizations/proc/4,2026-08-02,東京都,国・省庁,0
杉並区役所,36381,,,0,,https://www2.njss.info/organizations/proc/1818,2026-08-02,東京都,地方公共団体,0
高知市役所,35815,,,0,,https://www2.njss.info/organizations/proc/1775,2026-08-02,高知県,地方公共団体,0
大分市役所,35539,,,0,,https://www2.njss.info/organizations/proc/1746,2026-08-02,大分県,地方公共団体,0
財務省(MOF),35534,,,0,,https://www2.njss.info/organizations/proc/411,2026-08-02,東京都,国・省庁,0
外務省(MOFA),35320,,,0,,https://www2.njss.info/organizations/proc/759,2026-08-02,東京都,国・省庁,0
国土交通省(MLIT) 四国地方整備局,34170,,,0,,https://www2.njss.info/organizations/proc/499,2026-08-02,香川県,国・省庁,0
倉敷市役所,33626,,,0,,https://www2.njss.info/organizations/proc/1738,2026-08-02,岡山県,地方公共団体,0
日本中央競馬会(JRA),33577,,,0,,https://www2.njss.info/organizations/proc/1104,2026-08-02,東京都,国・省庁,0
練馬区役所,33546,,,0,,https://www2.njss.info/organizations/proc/1849,2026-08-02,東京都,地方公共団体,0
船橋市役所,33296,,,0,,https://www2.njss.info/organizations/proc/1722,2026-08-02,千葉県,地方公共団体,0
農業・食品産業技術総合研究機構(NARO),32711,,,0,,https://www2.njss.info/organizations/proc/290,2026-08-02,茨城県,国・省庁,0
港区役所,32489,,,0,,https://www2.njss.info/organizations/proc/1793,2026-08-02,東京都,地方公共団体,0
日本銀行(BOJ),32277,,,0,,https://www2.njss.info/organizations/proc/1,2026-08-02,東京都,国・省庁,0
一宮市役所,32186,,,0,,https://www2.njss.info/organizations/proc/1761,2026-08-02,愛知県,地方公共団体,0
草加市役所,32021,,,0,,https://www2.njss.info/organizations/proc/1752,2026-08-02,埼玉県,地方公共団体,0
岡崎市役所,31955,,,0,,https://www2.njss.info/organizations/proc/1730,2026-08-02,愛知県,地方公共団体,0
八尾市役所,31701,,,0,,https://www2.njss.info/organizations/proc/1766,2026-08-02,大阪府,地方公共団体,0
防衛省(MOD) 海上自衛隊 呉地方総監部,31608,,,0,,https://www2.njss.info/organizations/proc/66,2026-08-02,広島県,国・省庁,0
農林水産省(MAFF) 林野庁(FA) 関東森林管理局,31339,,,0,,https://www2.njss.info/organizations/proc/270,2026-08-02,群馬県,国・省庁,0
情報通信研究機構(NICT),30684,,,0,,https://www2.njss.info/organizations/proc/362,2026-08-02,東京都,国・省庁,0
郡山市役所,30485,,,0,,https://www2.njss.info/organizations/proc/1718,2026-08-02,福島県,地方公共団体,0
安城市役所,30361,,,0,,https://www2.njss.info/organizations/proc/4625,2026-08-02,愛知県,地方公共団体,0
仙台市役所,30341,,,0,,https://www2.njss.info/organizations/proc/1705,2026-08-02,宮城県,地方公共団体,0
宇都宮市役所,30111,,,0,,https://www2.njss.info/organizations/proc/1660,2026-08-02,栃木県,地方公共団体,0
長岡市役所,29594,,,0,,https://www2.njss.info/organizations/proc/1756,2026-08-02,新潟県,地方公共団体,0
